Company,year,Number of sites_- 50000 kVA,Number of sites_50000 - 350000 kVA,Number of sites_350000 - 100000 kVA,Number of sites_1000000 kVA -,Number of sites_Total,Capacity (by capacity range)_- 50000 kVA,Capacity (by capacity range)_50000 - 350000 kVA,Capacity (by capacity range)_350000 - 100000 kVA,Capacity (by capacity range)_1000000 kVA -,Capacity (by capacity range)_Total,Number of sites_- 22 kV (low voltage side),Number of sites_- 22 kV,Number of sites_22 - 55 kV (low voltage side),Number of sites_22 - 55 kV,Number of sites_66 - 77 kV (low voltage side),Number of sites_66 - 77 kV,Number of sites_110 - 154 kV (low voltage side),Number of sites_110 - 154 kV,Number of sites_187 kV (low voltage side),Number of sites_187 kV,Number of sites_220 kV (low voltage side),Number of sites_220 kV,Number of sites_275 kV (low voltage side),Number of sites_275 kV,Number of sites_500 kV (low voltage side),Number of sites_500 kV,Number of sites_Total (low voltage side),Number of sites_Total,Capacity (by voltage range)_- 22 kV,Capacity (by voltage range)_22 - 55 kV,Capacity (by voltage range)_66 - 77 kV,Capacity (by voltage range)_110 - 154 kV,Capacity (by voltage range)_187 kV,Capacity (by voltage range)_220 kV,Capacity (by voltage range)_275 kV,Capacity (by voltage range)_500 kV -,Capacity (by voltage range)_Total
Hokuriku,1974,82,22,5,,109,1838172,2753750,2704800,,7296722,,,,16,5,80,,11,,,,,,2,,,5,109,,,,,,,1400000,,7296722
Kansai,1974,456,129,40,,625,10354140,10668000,36268500,,57290640,1,,19,148,14,431,,21,,1,,,2,20,,4,36,625,,,,,180000,,16834000,10250000,57290640
Chugoku,1974,177,39,5,,221,3325617,4508875,2663000,,10497492,,,8,43,1,98,2,74,,,,6,,,,,11,221,,,,,,2750000,,,10497492
Shikoku,1974,143,8,2,,153,2231169,1113560,855000,,4199669,2,4,2,10,3,127,,5,,7,,,,,,,7,153,,,,,1760000,,,,4199669
Kyushu,1974,260,36,10,,306,4968196,4763320,4291000,,14022516,,2,2,36,23,230,1,25,,,,13,,,,,26,306,,,,,,4860000,,,14022516
Okinawa,1974,,,,,81,,,,,1644556,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1973,223,10,1,,234,2195491,1622000,398000,,4215491,,,,,,,,,,7,,,,,,,3,234,,,,,1633000,,,,4215491
Tohoku,1973,343,31,4,,378,4528930,5239000,2299000,,12066930,,,,,,,,,,,,,,7,,,21,378,,,,,,,2524000,,12066930
Tokyo,1973,719,63,51,,833,17680860,9003100,37180000,,63863960,,,,,,,,,,,,,1,22,,,46,833,,,,,,,21860000,,63863960
Chubu,1973,359,66,27,,452,7073170,6917500,16522000,,30512670,,,,,,,,,,,,,,9,,,33,452,,,,,,,7740000,,30512670
Hokuriku,1973,84,20,4,,108,1775672,2833750,1967800,,6577222,,,,,,,,,,,,,,2,,,5,108,,,,,,,1100000,,6577222
Kansai,1973,439,124,34,,597,9767720,9982500,24746000,,44496220,,,,,,,,,,1,,,1,20,,,31,597,,,,,180000,,16744000,,44496220
Chugoku,1973,179,34,4,,217,3191667,4230875,2120000,,9542542,,,,,,,,,,,,6,,,,,24,217,,,,,,2450000,,,9542542
Shikoku,1973,139,6,2,,147,2124219,853500,855000,,3832719,,,,,,,,,,6,,,,,,,6,147,,,,,1560000,,,,3832719
Kyushu,1973,262,31,8,,301,4618386,4136000,3411000,,12165386,,,,,,,,,,,,13,,,,,22,301,,,,,,4360000,,,12165386
Okinawa,1973,,,,,76,,,,,1602231,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1972,223,10,1,,234,2001008,1432000,398000,,3831008,,,,,,,,,,7,,,,,,,3,234,,,,,1473000,,,,3831008
Tohoku,1972,337,28,3,,368,4083130,4695000,1581000,,10359130,,,,,,,,,,,,,,6,,,20,368,,,,,,,1906000,,10359130
Tokyo,1972,695,59,44,,798,16038610,9317600,26256000,,51612210,,,,,,,,,,,,,,18,,,38,798,,,,,,,14076000,,51612210
Chubu,1972,354,57,26,,437,6630340,6179500,15683000,,28492840,,,,,,,,,,,,,,9,,,33,437,,,,,,,7440000,,28492840
Hokuriku,1972,85,15,4,,104,1687618,2303750,1667800,,5659168,,,,,,,,,,,,,,2,,,5,104,,,,,,,800000,,5659168
Kansai,1972,421,106,30,,557,8923723,8709000,19540000,,37172723,,,,,,,,,,1,,,,18,,,29,557,,,,,120000,,12794000,,37172723
Chugoku,1972,171,34,4,,209,2808997,4170875,2120000,,9099872,,,,,,,,,,,,6,,,,,26,209,,,,,,2450000,,,9099872
Shikoku,1972,130,5,2,,137,1792917,502950,840000,,3135867,,,,,,,,,,5,,,,,,,,137,,,,,1210000,,,,3135867
Kyushu,1972,260,31,5,,296,4285296,4257000,2020000,,10562296,,,,,,,,,,,,11,,,,,18,296,,,,,,3110000,,,10562296
Okinawa,1972,,,,,57,,,,,1344596,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1971,220,11,1,,232,1856738,1483000,398000,,3737738,,,,,,,,,,6,,,,,,,,232,,,,,1413000,,,,3737738
Tohoku,1971,331,26,2,,359,3637950,4430000,981000,,9048950,,,,,,,,,,,,,,4,,,20,359,,,,,,,1256000,,9048950
Tokyo,1971,659,65,34,,758,14267450,10248600,20619000,,45135050,,,,,,,,,,,,,,15,,,40,758,,,,,,,10940000,,45135050
Chubu,1971,334,49,24,,407,6242510,5379500,13541500,,25163510,,,,,,,,,,,,,,7,,,34,407,,,,,,,5690000,,25163510
Hokuriku,1971,86,13,4,,103,1567482,2106750,1667800,,5342032,,,,,,,,,,,,,,2,,,5,103,,,,,,,800000,,5342032
Kansai,1971,405,90,26,,524,8013083,7795540,16040000,,31864623,,,,,,,,,,,,,,16,,,32,521,,,,,,,9994000,,31848623
Chugoku,1971,167,31,2,,200,2623497,3943875,950000,,7517372,,,,,,,,,,,,5,,,,,22,200,,,,,,1550000,,,7517372
Shikoku,1971,121,4,2,,127,1632967,292950,840000,,2765917,,,,,,,,,,4,,,,,,,6,127,,,,,1000000,,,,2765917
Kyushu,1971,254,29,5,,288,3807246,3947000,1845000,,9599246,,,,,,,,,,,,10,,,,,17,288,,,,,,2630000,,,9599246
Okinawa,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1970,216,13,,,229,1633288,1914000,,,3557288,,,,,,,,,,6,,,,,,,,229,,,,,1413000,,,,3557288
Tohoku,1970,328,25,2,,355,3241090,3761000,981000,,7983090,,,,,,,,,,,,,,3,,,18,355,,,,,,,1006000,,7983090
Tokyo,1970,625,63,30,,718,12854610,9808600,17696000,,40359210,,,,,,,,,,,,,,11,,,,718,,,,,,,9140000,,40359210
Chubu,1970,302,43,23,,368,5473730,4686400,12783000,,22943130,,,,,,,,,,,,,,6,,,37,368,,,,,,,4890000,,22943130
Hokuriku,1970,88,9,4,,101,1456000,1482750,1667800,,4606550,,,,,,,,,,,,,,2,,,5,101,,,,,,,800000,,4606550
Kansai,1970,391,79,26,,496,7093783,6309800,15308000,,28711583,,,,,,,,,,,,,,14,,,35,496,,,,,,,8894000,,28711583
Chugoku,1970,166,31,2,,199,2433867,3649875,950000,,7033742,,,,,,,,,,,,5,,,,,20,199,,,,,,1550000,,,7033742
Shikoku,1970,119,4,1,,124,1544985,486000,390000,,2420985,,,,,,,,,,4,,,,,,,4,124,,,,,800000,,,,2420985
Kyushu,1970,246,27,3,,276,3392112,3917000,1100000,,8409112,,,,,,,,,,,,9,,,,,,276,,,,,,2070000,,,8409112
Okinawa,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1969,213,12,,,225,1511528,1801000,,,3312528,,,,,,,,,,6,,,,,,,,225,,,,,1369000,,,,3312528
Tohoku,1969,323,25,1,,349,2928455,3676000,596000,,7200455,,,,,,,,,,,,,,3,,,18,349,,,,,,,886000,,7200455
Tokyo,1969,599,60,28,,687,11509740,9055600,16054000,,36619340,,,,,,,,,,,,,,10,,,25,687,,,,,,,7740000,,36619340
Chubu,1969,286,42,16,,344,4877480,5583000,8376000,,18836480,,,,,,,,,,,,,,5,,,34,344,,,,,,,3590000,,18836480
Hokuriku,1969,89,8,4,,101,1339400,1222000,1660800,,4222200,,,,,,,,,,,,,,2,,,4,101,,,,,,,800000,,4222200
Kansai,1969,369,77,20,,466,6471443,7022000,11713000,,25206443,,,,,,,,,,,,,,14,,,33,466,,,,,,,7794000,,25206443
Chugoku,1969,164,29,1,,194,2106167,3419875,500000,,6026042,,,,,,,,,,,,5,,,,,19,194,,,,,,1250000,,,6026042
Shikoku,1969,112,5,,,117,1387319,726000,,,2113319,,,,,,,,,,4,,,,,,,,117,,,,,660000,,,,2113319
Kyushu,1969,240,27,1,,268,3125112,3987500,360000,,7472612,,,,,,,,,,,,7,,,,,22,268,,,,,,1530000,,,7472612
Okinawa,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1968,209,11,,,220,1441578,1550000,,,2991578,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1968,315,22,1,,338,2627905,3086000,596000,,6309905,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1968,564,63,23,,650,10380600,9948600,13110000,,33439200,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1968,273,42,13,,328,4419920,5660000,6931000,,17010920,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1968,87,8,3,,98,1218700,1232500,1300300,,3751500,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1968,348,68,18,,434,6080900,6222000,10068000,,22370900,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1968,161,26,1,,188,2009707,3125875,500000,,5635582,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1968,105,4,,,109,1227319,626000,,,1853319,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1968,237,27,1,,265,2891572,3735800,360000,,6987372,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1967,206,11,,,217,1318338,1550000,,,2868338,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1967,309,22,1,,332,2401287,2849000,496000,,5746287,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1967,530,59,24,,613,9406600,8560600,12891000,,30858200,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1967,263,40,11,,314,4147220,5501000,5827000,,15475220,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1967,87,8,2,,97,1130240,1232500,900300,,3263040,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1967,336,60,16,,412,5815270,5567000,8946000,,20328270,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1967,161,24,1,,186,1942407,2926375,500000,,5368782,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1967,104,4,,,108,1077850,626000,,,1703850,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1967,224,27,1,,252,2546627,3322300,360000,,6228927,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1966,206,10,,,216,1272854,1345000,,,2617854,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1966,304,22,1,,327,2234687,2684000,496000,,5414687,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1966,504,55,19,,578,8737300,8522600,10428000,,27687900,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1966,257,38,10,,305,3960350,5214000,4892000,,14066350,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1966,87,7,2,,96,1075965,1069500,900300,,3045765,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1966,331,60,14,,405,5308500,5964000,7584000,,18856500,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1966,157,24,,,181,1759792,2908000,,,4667792,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1966,110,4,,,105,1009000,656500,,,1665500,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1966,221,25,1,,247,2441701,2887600,360000,,5689301,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1965,206,9,,,215,1210640,1210000,,,2420640,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1965,301,20,1,,322,2096087,2564000,496000,,5156087,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1965,469,54,16,,539,7892780,8458100,8757000,,25107880,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1965,250,39,5,,294,3738050,5755000,2623000,,12116050,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1965,85,7,2,,94,1006975,960500,800300,,2767775,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1965,315,63,10,,388,4726092,6236000,5989000,,16951092,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1965,156,22,,,178,1725272,2651750,,,4377022,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1965,97,4,,,101,918860,656500,,,1558560,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1965,214,24,1,,239,2211045,2734600,360000,,5305645,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1964,205,8,,,213,1129650,1050000,,,2179650,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1964,298,20,,,318,1990137,2894500,,,4884637,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1964,443,51,15,,509,6842380,7693100,7426000,,21981480,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1964,235,35,5,,275,3377335,4628500,2313000,,10318835,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1964,82,7,2,,91,890945,780500,800300,,2471745,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1964,305,60,6,,371,4367012,6611750,3519000,,14507762,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1964,155,20,,,175,1537802,2380750,,,3918552,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1964,94,4,,,98,812280,416500,,,1228780,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1964,212,23,1,,236,2064195,2524600,360000,,4948795,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1963,,,,,211,,,,,2086665,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1963,,,,,315,,,,,4660617,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1963,,,5,,481,,,3002000,,19073750,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1963,,,3,,264,,,1390000,,8585405,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1963,,,2,,89,,,800300,,2333353,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1963,,,5,,358,,,2714000,,12907172,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1963,,,,,172,,,,,3725152,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1963,,,,,96,,,,,1153460,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1963,,,1,,233,,,360000,,4634415,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
