Company,year,Route length of transmission (Overhead)_- 55 kV (km),Route length of transmission (Overhead)_66 - 77 kV (km),Route length of transmission (Overhead)_110 - 154 kV (km),Route length of transmission (Overhead)_187 kV (km),Route length of transmission (Overhead)_220 kV (km),Route length of transmission (Overhead)_275 kV (km),Route length of transmission (Overhead)_500 kV - (km),Route length of transmission (Overhead)_Total (km),Route length of transmission (Undergound)_- 55 kV (km),Route length of transmission (Undergound)_66 - 77 kV (km),Route length of transmission (Undergound)_110 - 154 kV (km),Route length of transmission (Undergound)_187 kV (km),Route length of transmission (Undergound)_220 kV (km),Route length of transmission (Undergound)_275 kV (km),Route length of transmission (Undergound)_500 kV - (km),Route length of transmission (Undergound)_Total (km),Circuit length of transmission (Overhead)_- 55 kV (km),Circuit length of transmission (Overhead)_66 - 77 kV (km),Circuit length of transmission (Overhead)_110 - 154 kV (km),Circuit length of transmission (Overhead)_187 kV (km),Circuit length of transmission (Overhead)_220 kV (km),Circuit length of transmission (Overhead)_275 kV (km),Circuit length of transmission (Overhead)_500 kV - (km),Circuit length of transmission (Overhead)_Total (km),Circuit length of transmission (Underground)_- 55 kV (km),Circuit length of transmission (Underground)_66 - 77 kV (km),Circuit length of transmission (Underground)_110 - 154 kV (km),Circuit length of transmission (Underground)_187 kV (km),Circuit length of transmission (Underground)_220 kV (km),Circuit length of transmission (Underground)_275 kV (km),Circuit length of transmission (Underground)_500 kV - (km),Circuit length of transmission (Underground)_Total (km),Supports_Steel tower,Supports_RC pole,Supports_Steel pole,Supports_Wooden pole,Supports_Total
会社名,年期,電線路亘長_架空_55kV以下,電線路亘長_架空_66kV以上77kV以下,電線路亘長_架空_110kV以上154kV以下,電線路亘長_架空_187kV,電線路亘長_架空_220kV,電線路亘長_架空_275kV,電線路亘長_架空_500kV以上,電線路亘長_架空_計,電線路亘長_地中_55kV以下,電線路亘長_地中_66kV以上77kV以下,電線路亘長_地中_110kV以上154kV以下,電線路亘長_地中_187kV,電線路亘長_地中_220kV,電線路亘長_地中_275kV,電線路亘長_地中_500kV以上,電線路亘長_地中_計,回線延長_架空_55kV以下,回線延長_架空_66kV以上77kV以下,回線延長_架空_110kV以上154kV以下,回線延長_架空_187kV,回線延長_架空_220kV,回線延長_架空_275kV,回線延長_架空_500kV以上,回線延長_架空_計,回線延長_地中_55kV以下,回線延長_地中_66kV以上77kV以下,回線延長_地中_110kV以上154kV以下,回線延長_地中_187kV,回線延長_地中_220kV,回線延長_地中_275kV,回線延長_地中_500kV以上,回線延長_地中_計,鉄塔,鉄筋コンクリート柱,鉄柱,木柱,計
Hokkaido,2020,1096,3891,520,1744,0,718,98,8068,32,329,0,9,0,0,24,395,1102,5803,714,3353,0,1436,98,12506,74,612,0,22,0,0,24,732,19346,3922,22290,0,45558
Tohoku,2020,1342,7008,3800,,,2197,555,14902,55,378,48,,,3,,483,1417,11396,5983,,,4394,1110,24299,71,642,88,,,5,,806,47660,6193,4658,,58511
Tokyo,2020,487,7738,2957,0,0,1175,2542,14899,2054,3659,310,0,0,403,40,6466,528,15019,6008,0,0,2331,4698,28584,3601,6866,777,0,0,1151,79,12474,43614,6177,450,20,50261
Chubu,2020,985,5583,1780,0,0,1412,891,10651,491,698,54,0,0,110,0,1353,1283,10784,3402,0,0,2779,1782,20030,836,1303,119,0,0,204,0,2462,30168,3805,1099,0,35072
Hokuriku,2020,300,1639,786,,,241,234,3199,68,79,13,,,,,160,319,2912,1498,,,482,468,5679,68,144,25,,,,,237,9194,3227,251,,12672
Kansai,2020,4712,4193,1960,10,,1706,1674,14255,2466,1622,361,5,,95,49,4598,5330,8063,3833,20,,3305,3347,23898,4225,2729,542,10,,164,98,7768,32271,74140,956,,107367
Chugoku,2020,1613,1905,2699,,1001,,828,8046,364,67,223,,12,,,665,1765,3044,4978,,1919,,1656,13362,420,99,345,,24,,,889,20971,26544,1301,,48816
Shikoku,2020,215,1745,91,932,,,279,3262,42,77,1,1,,,,122,224,3392,172,1854,,,558,6199,52,149,2,3,,,,206,9176,2284,343,,11803
Kyushu,2020,2656,4166,810,,1616,,943,10191,323,426,1,,49,,,799,2665,7617,1431,,3109,,1885,16707,536,761,2,,110,,,1409,25116,44439,720,,70275
Okinawa,2020,313,435,92,,,,,839,258,103,34,,,,,395,322,507,202,,,,,1031,262,116,74,,,,,452,1213,9227,1,1,10442
Hokkaido,2019,1096,3888,520,1744,0,718,98,8065,32,326,0,9,0,0,24,392,1102,5800,714,3353,0,1436,98,12502,74,599,0,22,0,0,24,719,19332,3923,22356,0,45611
Tohoku,2019,1347,6989,3797,,,2197,555,14886,54,373,47,,,3,,478,1422,11372,5941,,,4394,1110,24238,71,634,88,,,5,,798,47635,6164,4665,,58464
Tokyo,2019,491,7732,2953,,,1175,2453,14804,2061,3632,308,0,0,402,40,6443,533,15009,5998,,,2331,4520,28391,3608,6808,774,0,0,1144,79,12413,43462,6299,454,20,50235
Chubu,2019,991,5581,1811,0,0,1407,890,10680,521,704,54,0,0,110,0,1389,1289,10782,3439,0,0,2775,1781,20066,881,1312,118,0,0,204,0,2515,30248,3816,1138,0,35202
Hokuriku,2019,287,1639,785,,,241,234,3187,60,79,12,,,,,151,305,2912,1498,,,482,468,5665,60,138,24,,,,,223,9197,3228,251,,12676
Kansai,2019,4675,4196,1960,10,,1706,1674,14221,2467,1621,351,5,,90,49,4583,5296,8067,3833,20,,3306,3347,23869,4223,2730,553,10,,159,98,7773,32292,73689,962,0,106943
Chugoku,2019,1572,1924,2687,,1001,,828,8011,362,70,229,,12,,,673,1725,3032,4966,,1919,,1656,13299,418,105,351,,24,,,898,20992,25576,1312,,47880
Shikoku,2019,215,1752,91,932,,,279,3269,42,77,1,1,,,,122,224,3408,172,1854,,,558,6215,52,148,2,3,,,,206,9198,2283,343,,11824
Kyushu,2019,2574,4159,810,0,1616,0,943,10101,311,437,1,0,49,0,0,799,2583,7592,1431,0,3108,0,1885,16600,517,778,2,0,110,0,0,1407,25087,43237,770,1,69095
Okinawa,2019,297,436,102,,,,,835,254,99,34,,,,,385,306,509,202,,,,,1017,257,103,73,,,,,433,1210,8676,1,1,9888
Hokkaido,2018,1096,3887,520,1744,0,718,98,8063,32,323,0,9,0,0,24,388,1102,5792,714,3354,0,1436,98,12495,74,591,0,22,0,0,24,711,19315,3924,22435,0,45674
Tohoku,2018,1347,6975,3785,,,2197,552,14855,58,367,47,,,3,,475,1422,11361,5928,,,4393,1104,24208,74,622,88,,,5,,789,47560,6193,4704,,58457
Tokyo,2018,492,7700,2945,0,0,1169,2453,14759,2058,3611,309,0,0,402,40,6420,534,14955,5985,0,0,2320,4520,28314,3596,6774,762,0,0,1138,79,12349,43436,6210,456,40,50142
Chubu,2018,1025,5579,1811,0,0,1402,890,10707,529,700,53,0,0,110,0,1392,1315,10792,3439,0,0,2764,1781,20091,888,1298,117,0,0,204,0,2507,30306,3995,1303,0,35604
Hokuriku,2018,278,1638,785,,,241,234,3177,57,79,12,,,,,149,295,2912,1498,,,482,468,5655,57,139,24,,,,,220,9198,3215,251,,12664
Kansai,2018,4708,4197,1960,10,0,1706,1674,14255,2466,1607,351,5,0,90,49,4568,5317,8074,3834,20,0,3305,3347,23897,4225,2724,553,10,0,159,98,7769,32376,73633,979,0,106988
Chugoku,2018,1531,1913,2687,,1001,,828,7959,339,70,227,,12,,,648,1682,3021,4955,,1919,,1656,13233,395,105,348,,24,,,872,20932,25021,1302,,47255
Shikoku,2018,213,1752,91,981,,,279,3315,42,77,1,1,,,,122,221,3408,172,1855,,,558,6213,52,148,2,3,,,,206,9288,2283,341,,11912
Kyushu,2018,2487,4152,809,0,1616,0,943,10007,307,438,1,0,49,0,0,796,2503,7578,1430,0,3109,0,1885,16505,510,779,2,0,110,0,0,1401,25066,42004,778,3,67851
Okinawa,2018,294,436,102,,,,,832,240,99,34,,,,,372,303,509,202,,,,,1014,244,103,73,,,,,420,1209,8486,1,1,9697
Hokkaido,2017,1098,3859,520,1744,,718,,7941,32,322,,9,,,,364,1103,5739,714,3354,,1436,,12346,75,594,,22,,,,691,19015,3930,22334,,45279
Tohoku,2017,1346,6935,3784,,,2196,552,14813,58,361,47,,,3,,469,1421,11320,5926,,,4392,1104,24163,74,615,88,,,5,,782,47404,6194,4709,,58307
Tokyo,2017,491,7707,2950,,,1165,2453,14766,2068,3580,306,,,402,40,6396,533,14973,5996,,,2311,4520,28332,3602,6750,756,,,1145,79,12331,43508,6269,459,42,50278
Chubu,2017,1045,5619,1855,,,1402,890,10811,535,691,53,,,110,,1389,1335,10833,3526,,,2764,1781,20239,898,1268,117,,,204,,2487,30532,4066,1336,,35934
Hokuriku,2017,278,1638,783,,,241,234,3174,57,79,10,,,,,146,295,2911,1493,,,482,468,5650,57,139,20,,,,,215,9201,3229,255,0,12685
Kansai,2017,4699,4197,1956,10,,1707,1674,14243,2467,1616,332,5,,91,49,4560,5336,8073,3834,20,,3307,3348,23918,4208,2740,542,10,,160,98,7758,32458,73268,993,0,106719
Chugoku,2017,1487,1913,2687,,1001,,828,7915,330,71,227,,12,,,641,1633,3021,4954,,1919,,1656,13183,386,106,348,,24,,,865,20936,23730,1348,,46014
Shikoku,2017,206,1749,91,981,,,279,3305,42,77,1,1,,,,122,214,3405,172,1855,,,558,6203,52,149,2,3,,,,206,9280,2188,340,,11808
Kyushu,2017,2455,4154,809,0,1616,0,943,9977,306,440,1,0,49,0,0,796,2470,7584,1430,0,3109,0,1885,16478,502,785,2,0,110,0,0,1398,25092,40991,792,7,66882
Okinawa,2017,303,425,102,,,,,830,238,98,34,,,,,370,311,487,202,,,,,1001,242,102,73,,,,,417,1166,8498,1,1,9666
Hokkaido,2016,1148,3834,519,1744,,697,,7942,32,322,,9,,,,363,1152,5713,713,3354,,1395,,12327,75,594,,22,,,,691,18862,4489,22729,,46080
Tohoku,2016,1343,6907,3762,,,2170,552,14734,57,356,40,,,3,,456,1419,11290,5885,,,4341,1104,24038,73,607,74,,,5,,759,47151,6188,4735,,58074
Tokyo,2016,500,7706,2953,,,1169,2453,14781,2064,3573,311,,,404,40,6392,544,14981,6000,,,2320,4520,28365,3599,6734,762,,,1151,79,12325,43535,6300,491,43,50369
Chubu,2016,1064,5633,1853,,,1403,890,10843,546,679,53,,,109,,1386,1354,10869,3564,,,2766,1781,20334,904,1247,125,,,202,,2477,30655,4065,1363,,36083
Hokuriku,2016,270,1642,785,,,241,234,3172,56,78,8,,,,,142,288,2915,1498,,,482,468,5651,56,137,16,,,,,209,9216,3146,267,,12629
Kansai,2016,4662,4210,1956,10,,1748,1633,14219,2447,1599,332,5,,91,49,4523,5302,8097,3834,20,,3390,3265,23908,4201,2734,542,10,,161,98,7746,32532,72647,1006,,106185
Chugoku,2016,1459,1911,2685,,1000,,828,7884,322,74,228,,12,,,636,1606,3020,4952,,1918,,1656,13152,380,110,344,,24,,,858,20953,23081,1327,,45361
Shikoku,2016,196,1749,91,981,,,279,3296,42,77,1,1,,,,121,205,3405,172,1855,,,558,6194,52,149,2,3,,,,205,9279,2075,343,,11697
Kyushu,2016,2403,4158,809,,1684,,942,9996,314,434,1,,49,,,798,2412,7574,1431,,3167,,1885,16468,515,776,2,,109,,,1402,25259,40047,806,16,66128
Okinawa,2016,306,425,102,,,,,833,242,98,24,,,,,364,314,487,203,,,,,1004,246,102,53,,,,,401,1167,8421,1,2,9591
Hokkaido,2015,1147,3885,523,1744,,697,,7997,31,322,,9,,,,362,1152,5761,720,3354,,1395,,12381,68,593,,22,,,,683,18833,4482,23316,,46631
Tohoku,2015,1371,6887,3776,,,2170,552,14757,56,357,40,,,3,,455,1446,11256,5889,,,4341,1104,24036,72,608,74,,,5,,758,47235,6204,4790,,58229
Tokyo,2015,505,7702,2949,,,1179,2453,14788,2072,3578,309,,,421,40,6420,551,14980,5992,,,2339,4520,28382,3594,6736,778,,,1216,79,12403,43592,6308,496,43,50439
Chubu,2015,1073,5647,1853,0,0,1403,890,10866,553,674,59,0,0,108,0,1395,1391,10882,3564,0,0,2766,1781,20384,913,1237,136,0,0,202,0,2487,30751,4099,1395,0,36245
Hokuriku,2015,273,1642,785,,,241,234,3175,55,76,8,,,,,139,290,2915,1498,,,482,468,5654,55,134,16,,,,,205,9215,3144,293,0,12652
Kansai,2015,4650,4211,1957,10,,1748,1633,14209,2437,1611,332,5,,91,49,4525,5312,8100,3835,20,,3390,3265,23922,4166,2749,541,10,,161,98,7725,32589,72013,1001,,105603
Chugoku,2015,1460,1919,2737,,1012,,828,7955,310,74,212,,12,,,608,1606,3019,5026,,1941,,1656,13248,368,110,326,,24,,,827,21299,22673,1320,,45292
Shikoku,2015,189,1749,90,982,,,279,3289,42,75,,1,,,,118,197,3405,171,1856,,,558,6187,51,147,,3,,,,201,9299,2052,344,,11695
Kyushu,2015,2355,4157,843,0,1682,0,942,9980,306,436,1,0,49,0,0,793,2364,7544,1499,0,3164,0,1885,16455,506,777,2,0,109,0,0,1393,25401,39186,833,18,65438
Okinawa,2015,287,428,102,,,,,816,221,98,24,,,,,343,295,489,203,,,,,987,225,103,53,,,,,380,1148,8096,1,2,9247
Hokkaido,2014,1132,3885,523,1744,,697,,7982,31,320,,9,,,,360,1137,5765,720,3354,,1395,,12371,71,590,,22,,,,683,18828,4481,23220,,46529
Tohoku,2014,1389,6875,3740,,,2170,552,14726,57,354,40,,,3,,454,1465,11215,5815,,,4341,1104,23940,70,605,74,,,5,,754,47176,6229,4899,,58304
Tokyo,2014,507,7701,2953,,,1188,2453,14802,2087,3565,309,,,423,40,6424,553,14974,6000,,,2358,4520,28405,3619,6708,755,,,1179,79,12340,43682,6440,501,47,50670
Chubu,2014,1088,5644,1845,0,0,1403,890,10871,552,664,59,0,0,108,0,1383,1419,10890,3547,0,0,2766,1781,20403,911,1223,136,0,0,202,0,2471,30821,4121,1399,0,36341
Hokuriku,2014,284,1642,785,,,241,234,3185,59,76,8,,,,,144,300,2915,1498,,,482,468,5662,59,134,16,,,,,210,9265,3140,304,,12709
Kansai,2014,4612,4215,1957,10,,1748,1633,14175,2412,1590,332,5,,91,49,4479,5254,8107,3836,20,,3390,3265,23872,4071,2727,542,10,,161,98,7609,32683,71138,1008,18,104847
Chugoku,2014,1427,1912,2736,,994,,828,7897,297,72,212,,12,,,593,1575,3013,5029,,1904,,1656,13176,355,107,325,,24,,,812,21248,21752,1316,,44316
Shikoku,2014,186,1748,90,982,,,279,3284,41,75,,1,,,,117,194,3402,171,1856,,,558,6181,51,147,,3,,,,200,9305,2068,351,,11724
Kyushu,2014,2309,4161,862,0,1664,0,942,9939,306,435,1,0,44,0,0,786,2318,7526,1518,0,3128,0,1885,16376,506,773,2,0,99,0,0,1380,25440,38311,844,18,64613
Okinawa,2014,276,428,102,,,,,805,178,95,24,,,,,297,285,489,203,,,,,976,182,99,53,,,,,335,1148,7735,1,2,8886
Hokkaido,2013,1133,3881,523,1737,,697,,7971,31,318,,9,,,,357,1138,5756,720,3339,,1395,,12347,70,585,,22,,,,677,18752,4474,23358,,46584
Tohoku,2013,1389,6877,3665,,,2171,552,14654,57,350,40,,,3,,450,1465,11190,5782,,,4341,1104,23882,71,594,74,,,5,,744,47043,6279,4897,,58219
Tokyo,2013,516,7703,2946,,,1196,2343,14704,2094,3549,310,,,423,40,6416,561,14981,6000,,,2406,4299,28247,3625,6678,754,,,1176,79,12312,43661,6678,513,71,50923
Chubu,2013,1082,5654,1855,0,0,1403,890,10884,547,652,59,0,0,108,0,1366,1425,10893,3567,0,0,2766,1781,20432,905,1196,136,0,0,202,0,2439,30806,4123,1401,0,36330
Hokuriku,2013,282,1650,785,,,241,234,3191,54,71,5,,,,,130,300,2924,1498,,,482,468,5672,54,129,9,,,,,193,9316,3138,306,,12760
Kansai,2013,4604,4220,1957,10,,1748,1633,14172,2412,1585,332,5,,91,49,4474,5272,8117,3836,20,,3390,3265,23900,4070,2706,540,10,,161,98,7585,32696,71474,1003,21,105194
Chugoku,2013,1413,1919,2736,,994,,828,7889,291,72,213,,12,,,589,1558,3020,5039,,1904,,1656,13175,341,108,330,,24,,,802,21320,21323,1329,,43972
Shikoku,2013,186,1745,90,982,,,279,3281,41,74,,1,,,,116,194,3398,171,1856,,,558,6177,51,146,,3,,,,200,9299,2066,353,,11718
Kyushu,2013,2266,4148,895,0,1650,0,942,9902,286,436,1,0,44,0,0,767,2275,7483,1602,0,3114,0,1885,16359,481,770,2,0,99,0,0,1351,25486,37650,863,18,64017
Okinawa,2013,265,427,102,,,,,794,171,95,24,,,,,289,274,488,203,,,,,965,175,99,53,,,,,327,1144,7306,1,2,8453
Hokkaido,2012,1129,3881,523,1737,,695,,7965,30,313,,9,,,,351,1134,5756,720,3339,,1390,,12339,69,571,,22,,,,662,18753,4352,23421,,46526
Tohoku,2012,1389,6866,3664,,,2170,552,14641,57,353,40,,,3,,453,1464,11182,5779,,,4341,1104,23870,71,589,74,,,5,,739,47000,6279,4903,,58182
Tokyo,2012,522,7703,2949,0,0,1235,2343,14752,2080,3537,307,,,423,40,6387,567,14976,6018,0,0,2484,4299,28344,3582,6648,755,,,1146,79,12210,43757,6839,518,86,51200
Chubu,2012,1099,5657,1849,0,0,1403,890,10898,555,638,59,0,0,108,0,1360,1445,10926,3556,0,0,2752,1781,20460,913,1172,135,0,0,199,0,2419,30856,4206,1413,0,36475
Hokuriku,2012,281,1645,783,,,241,234,3184,53,72,5,,,,,130,300,2914,1494,,,482,468,5657,53,130,9,,,,,192,9316,3139,312,,12767
Kansai,2012,4599,4219,1962,10,,1748,1633,14171,2395,1582,332,5,,91,49,4454,5260,8109,3841,20,,3390,3265,23885,4052,2703,540,10,,161,98,7564,32719,71175,1012,21,104927
Chugoku,2012,1351,1920,2727,,1010,,828,7835,267,73,211,,12,,,563,1499,3022,5022,,1920,,1656,13118,324,108,327,,24,,,783,21390,19936,1267,,42593
Shikoku,2012,185,1745,90,982,,,279,3280,41,73,a,1,,,,116,192,3398,171,1856,,,558,6175,50,145,a,3,,,,199,9300,2058,353,,11711
Kyushu,2012,2243,4141,906,0,1650,0,942,9883,281,437,1,0,45,0,0,763,2252,7482,1612,0,3114,0,1885,16345,473,771,2,0,100,0,0,1345,25496,37273,862,18,63649
Okinawa,2012,247,426,102,,,,,775,160,95,24,,,,,278,256,487,203,,,,,946,164,99,53,,,,,316,1143,6624,1,2,7770
Hokkaido,2011,1168,3865,523,1738,,695,,7989,29,308,,9,,,,346,1173,5729,720,3341,,1390,,12353,68,561,,22,,,,651,18707,4354,23931,8,47000
Tohoku,2011,1453,6840,3663,,,2170,552,14678,57,349,40,,,3,,449,1528,11093,5779,,,4341,1104,23845,71,583,73,,,5,,732,46973,6285,5071,,58329
Tokyo,2011,519,7713,2986,,,1263,2343,14824,2074,3499,308,,,371,40,6291,566,14995,6091,,,2541,4299,28492,3567,6573,755,,,1094,79,12067,44013,6791,477,100,51381
Chubu,2011,1124,5657,1851,0,0,1390,890,10912,555,633,59,0,0,106,0,1353,1489,10921,3560,0,0,2739,1781,20490,911,1164,136,0,0,196,0,2407,30862,4313,1445,0,36620
Hokuriku,2011,281,1642,783,,,241,234,3181,53,72,5,,,,,130,300,2911,1494,,,482,468,5655,53,130,9,,,,,192,9316,3151,312,,12779
Kansai,2011,4546,4215,1950,10,,1748,1633,14102,2361,1576,331,5,,91,49,4413,5225,8106,3822,20,,3390,3265,23828,4026,2690,539,10,,161,98,7525,32719,70241,1035,21,104016
Chugoku,2011,1329,1919,2733,,1010,,828,7819,252,71,211,,12,,,547,1477,3021,5034,,1920,,1656,13108,309,105,328,,24,,,766,21449,19432,1269,,42150
Shikoku,2011,183,1743,90,982,,,279,3277,41,72,a,1,,,,114,190,3394,171,1856,,,558,6170,50,143,a,3,,,,196,9294,2060,353,,11707
Kyushu,2011,2201,4135,907,0,1650,0,942,9835,277,433,1,0,45,0,0,755,2210,7465,1614,0,3114,0,1885,16289,474,764,2,0,100,0,0,1340,25456,36581,879,18,62934
Okinawa,2011,244,426,102,,,,,772,159,95,24,,,,,277,253,488,203,,,,,943,163,99,53,,,,,314,1143,6534,1,3,7681
Hokkaido,2010,1176,3838,523,1738,,695,,7970,29,306,,9,,,,343,1181,5704,720,3341,,1390,,12336,68,558,,22,,,,648,18697,4363,23932,12,47004
Tohoku,2010,1484,6794,3732,,,2171,253,14434,57,347,40,,,3,,447,1560,11014,5847,,,4288,507,23216,70,583,74,,,5,,732,46184,6877,5121,,58182
Tokyo,2010,519,7706,3013,,,1273,2356,14867,2081,3430,307,,,371,40,6228,565,14981,6123,,,2561,4326,28556,3560,6439,754,,,1094,79,11925,44133,6756,483,119,51491
Chubu,2010,1154,5659,1851,0,0,1326,890,10880,559,617,59,0,0,105,0,1340,1524,10915,3560,0,0,2612,1781,20392,917,1134,135,0,0,196,0,2382,30757,4343,1450,,36550
Hokuriku,2010,279,1643,778,0,0,241,234,3175,52,71,3,,,,,126,298,2912,1479,0,0,482,468,5639,52,129,4,0,0,0,0,184,9317,3084,314,0,12715
Kansai,2010,4519,4225,1950,10,,1748,1633,14085,2331,1578,331,5,,91,49,4384,5203,8107,3822,20,,3390,3265,23807,3983,2689,539,10,,161,98,7480,32805,69792,1019,22,103638
Chugoku,2010,1322,1917,2733,,1010,,828,7810,247,77,209,,12,,,545,1470,3017,5025,,1920,,1656,13087,305,115,323,,24,,,766,21450,18994,1273,,41717
Shikoku,2010,180,1743,90,982,,,279,3275,40,72,a,1,,,,113,188,3395,171,1856,,,558,6168,49,143,a,3,,,,195,9303,2078,369,,11750
Kyushu,2010,2132,4122,907,,1650,,858,9668,271,432,1,,45,,,749,2141,7434,1614,,3114,,1716,16019,461,762,2,,100,,,1326,25206,35999,901,19,62125
Okinawa,2010,241,426,101,,,,,769,156,90,22,,,,,268,250,488,202,,,,,940,160,94,50,,,,,304,1141,6381,1,3,7526
Hokkaido,2009,1174,3844,523,1738,,695,,7974,29,301,,9,,,,339,1179,5716,720,3341,,1390,,12346,68,546,,22,,,,636,18768,4370,24057,21,47216
Tohoku,2009,1485,6793,3724,,,2175,196,14373,57,336,40,,,3,,436,1560,10987,5884,,,4350,393,23174,70,557,74,,,5,,706,46150,6888,5198,,58236
Tokyo,2009,518,7702,3018,,,1300,2356,14894,2113,3372,300,,,365,40,6189,566,14960,6136,,,2555,4326,28543,3526,6333,747,,,1082,79,11767,44209,6741,504,133,51587
Chubu,2009,1155,5655,1850,,,1326,890,10876,572,608,58,,,106,,1344,1525,10910,3568,,,2613,1781,20396,922,1134,133,,,195,,2384,30749,4332,1510,,36591
Hokuriku,2009,277,1654,778,,,241,234,3184,52,71,3,,,,,126,296,2942,1479,,,482,468,5666,52,129,4,,,,,185,9377,3047,290,,12714
Kansai,2009,4557,4233,1950,10,,1748,1633,14130,2305,1561,331,5,,92,49,4343,5237,8110,3822,20,,3390,3265,23844,3929,2663,539,10,,162,98,7400,32877,69049,1129,83,103138
Chugoku,2009,1281,1920,2733,,1051,,771,7756,244,77,209,,12,,,541,1430,3022,5025,,2002,,1541,13020,300,115,323,,24,,,761,21419,18289,1275,,40983
Shikoku,2009,180,1743,90,982,,,279,3275,39,72,a,1,,,,113,188,3395,171,1856,,,558,6168,49,143,a,3,,,,195,9308,2074,368,,11750
Kyushu,2009,2086,4116,971,,1690,,858,9720,268,430,1,,44,,,743,2095,7428,1742,,3194,,1716,16175,459,758,2,,99,,,1318,25513,34960,922,19,61414
Okinawa,2009,238,426,101,,,,,766,155,90,22,,,,,267,247,488,202,,,,,936,159,94,50,,,,,303,1141,6282,1,3,7427
Hokkaido,2008,1174,3844,523,1738,,695,,7974,28,298,,9,,,,335,1179,5719,720,3341,,1390,,12349,65,537,,22,,,,625,18783,4371,24126,21,47301
Tohoku,2008,1487,6789,3715,,,2225,146,14362,51,338,40,,,3,,432,1562,10976,5871,,,4451,291,23151,64,559,74,,,5,,702,46091,6929,5230,,58250
Tokyo,2008,521,7691,2996,,,1322,2356,14886,2092,3336,300,,,363,40,6131,563,14982,6092,,,2578,4326,28541,3497,6268,747,,,1061,79,11652,44222,6809,493,149,51673
