Company,Year_term,Transmission and distribution losses (%),Integrated loss factor (%)
Hokkaido,197312,12.44,16.37
Tohoku,197312,10.56,13.08
Tokyo,197312,9.15,12.39
Chubu,197312,8.61,12.1
Hokuriku,197312,8.76,10.57
Kansai,197312,7.86,11.19
Chugoku,197312,9.12,11.96
Shikoku,197312,10.66,14.27
Kyushu,197312,11.36,14.42
Okinawa,197312,,
Hokkaido,197311,9.14,13.03
Tohoku,197311,7.63,10.12
Tokyo,197311,7.78,11.07
Chubu,197311,6.1,9.57
Hokuriku,197311,7.29,9.01
Kansai,197311,6.17,10.02
Chugoku,197311,6.66,9.32
Shikoku,197311,7.47,11.19
Kyushu,197311,7.25,10.69
Okinawa,197311,,
Hokkaido,197310,13.1,16.85
Tohoku,197310,8.49,10.99
Tokyo,197310,4.99,8.39
Chubu,197310,6.56,10.23
Hokuriku,197310,6.42,7.75
Kansai,197310,5.03,8.57
Chugoku,197310,4.91,7.74
Shikoku,197310,6.3,9.8
Kyushu,197310,5.43,8.93
Okinawa,197310,,
Hokkaido,197309,5.92,9.87
Tohoku,197309,0.48,3.17
Tokyo,197309,-4.88,-1.13
Chubu,197309,-2.36,1.56
Hokuriku,197309,1.08,2.96
Kansai,197309,-5.84,-1.74
Chugoku,197309,-4.6,-1.66
Shikoku,197309,-3.33,0.26
Kyushu,197309,-6.13,-2.27
Okinawa,197309,,
Hokkaido,197308,10.81,14.76
Tohoku,197308,9.72,12.23
Tokyo,197308,7.74,10.97
Chubu,197308,7.6,11.17
Hokuriku,197308,7.24,9
Kansai,197308,7.1,10.65
Chugoku,197308,6.91,9.55
Shikoku,197308,7.49,12.67
Kyushu,197308,9.55,12.81
Okinawa,197308,,
Hokkaido,197307,12.92,16.81
Tohoku,197307,12.61,14.85
Tokyo,197307,13.88,16.82
Chubu,197307,12.2,15.67
Hokuriku,197307,10.12,11.59
Kansai,197307,14.39,17.51
Chugoku,197307,15.73,18.03
Shikoku,197307,13.45,16.91
Kyushu,197307,17.17,20.09
Okinawa,197307,,
Hokkaido,197306,10.09,13.55
Tohoku,197306,7.32,9.69
Tokyo,197306,7.78,10.76
Chubu,197306,6.3,9.91
Hokuriku,197306,6.01,7.45
Kansai,197306,7.6,10.98
Chugoku,197306,6.6,8.96
Shikoku,197306,7.39,10.73
Kyushu,197306,9.93,13.2
Okinawa,197306,,
Hokkaido,197305,12.27,15.86
Tohoku,197305,9.14,11.03
Tokyo,197305,4.6,7.72
Chubu,197305,7.43,10.72
Hokuriku,197305,5.68,7.2
Kansai,197305,8.07,11.21
Chugoku,197305,6.66,8.96
Shikoku,197305,5.33,8.08
Kyushu,197305,9.1,12.39
Okinawa,197305,,
Hokkaido,197304,5.16,9.5
Tohoku,197304,3.01,5.09
Tokyo,197304,2.7,5.95
Chubu,197304,0.91,4.27
Hokuriku,197304,4.28,5.72
Kansai,197304,0.74,4.1
Chugoku,197304,1.24,3.95
Shikoku,197304,2.88,6.2
Kyushu,197304,3.2,6.84
Okinawa,197304,,
Hokkaido,197303,11.7,16.05
Tohoku,197303,10.97,13.09
Tokyo,197303,9.08,12.22
Chubu,197303,9.22,12.53
Hokuriku,197303,8.39,10.26
Kansai,197303,8.65,12.06
Chugoku,197303,8.87,11.32
Shikoku,197303,8.2,11.7
Kyushu,197303,10.15,13.69
Okinawa,197303,,
Hokkaido,197302,1.38,6.07
Tohoku,197302,1.74,4.15
Tokyo,197302,1.33,4.71
Chubu,197302,0.51,4.2
Hokuriku,197302,3.78,5.48
Kansai,197302,0.18,8.74
Chugoku,197302,1.17,3.8
Shikoku,197302,2.4,5.9
Kyushu,197302,2.16,5.82
Okinawa,197302,,
Hokkaido,197301,11.44,15.86
Tohoku,197301,8.08,10.03
Tokyo,197301,6.08,9.26
Chubu,197301,7.78,11.18
Hokuriku,197301,5.68,7.12
Kansai,197301,8.42,11.71
Chugoku,197301,7.13,9.53
Shikoku,197301,5.7,9.1
Kyushu,197301,8.07,11.51
Okinawa,197301,,
Hokkaido,197212,12.76,16.95
Tohoku,197212,10.72,12.63
Tokyo,197212,10.76,13.82
Chubu,197212,9.96,13.22
Hokuriku,197212,9.68,11.33
Kansai,197212,8.6,11.83
Chugoku,197212,10,12.35
Shikoku,197212,11.5,14.9
Kyushu,197212,12,15.49
Okinawa,197212,,
Hokkaido,197211,8.94,12.95
Tohoku,197211,8.02,10.13
Tokyo,197211,8.35,1.63
Chubu,197211,7.73,11.13
Hokuriku,197211,8.25,10.1
Kansai,197211,8.29,11.71
Chugoku,197211,7.81,10.33
Shikoku,197211,7.5,10.6
Kyushu,197211,8.82,12.41
Okinawa,197211,,
Hokkaido,197210,11.93,15.58
Tohoku,197210,8.07,10.43
Tokyo,197210,3.47,6.96
Chubu,197210,5.61,9.32
Hokuriku,197210,5.72,7.63
Kansai,197210,3.69,7.42
Chugoku,197210,4.62,7.54
Shikoku,197210,4.9,8
Kyushu,197210,4.13,8.03
Okinawa,197210,,
Hokkaido,197209,7.81,12.09
Tohoku,197209,2.29,4.59
Tokyo,197209,0.69,4.2
Chubu,197209,1.08,4.71
Hokuriku,197209,4.06,5.67
Kansai,197209,-2.38,1.26
Chugoku,197209,-0.54,1.93
Shikoku,197209,0.52,3.76
Kyushu,197209,-1.45,2.41
Okinawa,197209,,
Hokkaido,197208,10.5,14.79
Tohoku,197208,7.63,10.01
Tokyo,197208,7.66,10.89
Chubu,197208,7.02,10.6
Hokuriku,197208,6.53,8.07
Kansai,197208,6.45,9.68
Chugoku,197208,7.52,10.03
Shikoku,197208,7.97,11.14
Kyushu,197208,9.43,13.01
Okinawa,197208,,
Hokkaido,197207,12.75,16.5
Tohoku,197207,10.84,13.07
Tokyo,197207,10.57,13.75
Chubu,197207,11.4,14.58
Hokuriku,197207,10.03,11.2
Kansai,197207,13.64,16.57
Chugoku,197207,13.44,15.68
Shikoku,197207,11.83,14.66
Kyushu,197207,16.38,19.39
Okinawa,197207,,
Hokkaido,197206,10.87,14.38
Tohoku,197206,7.9,10.15
Tokyo,197206,7.7,10.9
Chubu,197206,7.01,10.16
Hokuriku,197206,6.7,7.92
Kansai,197206,8.17,11.34
Chugoku,197206,6.33,8.68
Shikoku,197206,6.5,9.39
Kyushu,197206,10.01,13.13
Okinawa,197206,,
Hokkaido,197205,12.94,16.35
Tohoku,197205,8.84,10.38
Tokyo,197205,5.93,8.97
Chubu,197205,7.25,10.21
Hokuriku,197205,6.29,7.17
Kansai,197205,7.45,10.7
Chugoku,197205,7.2,9.46
Shikoku,197205,5.64,8.94
Kyushu,197205,9.45,12.37
Okinawa,197205,,
Hokkaido,197204,5.62,9.04
Tohoku,197204,4.01,5.69
Tokyo,197204,3.78,6.99
Chubu,197204,2.63,5.76
Hokuriku,197204,5.85,6.67
Kansai,197204,2.46,5.61
Chugoku,197204,1.97,4.51
Shikoku,197204,4.25,7.14
Kyushu,197204,3.31,6.73
Okinawa,197204,,
Hokkaido,197203,7.85,12.12
Tohoku,197203,7.73,9.94
Tokyo,197203,5.85,9.16
Chubu,197203,7.51,10.91
Hokuriku,197203,7.2,8.4
Kansai,197203,6.79,9.92
Chugoku,197203,7.3,9.88
Shikoku,197203,6.61,9.86
Kyushu,197203,8.96,12.2
Okinawa,197203,,
Hokkaido,197202,3.38,8.51
Tohoku,197202,4.24,6.5
Tokyo,197202,3.14,6.63
Chubu,197202,3.04,6.7
Hokuriku,197202,5.3,6.8
Kansai,197202,2.69,5.93
Chugoku,197202,3.36,6.27
Shikoku,197202,4.2,7.5
Kyushu,197202,3.83,7.13
Okinawa,197202,,
Hokkaido,197201,10.86,15.54
Tohoku,197201,7.41,9.65
Tokyo,197201,6.24,9.72
Chubu,197201,7.5,11.16
Hokuriku,197201,6.1,7.5
Kansai,197201,7,10.19
Chugoku,197201,7.12,9.86
Shikoku,197201,6.81,10.2
Kyushu,197201,8.91,12.27
Okinawa,197201,,
Hokkaido,197112,12.59,16.9
Tohoku,197112,10.43,12.64
Tokyo,197112,10.54,13.87
Chubu,197112,9.76,13.42
Hokuriku,197112,9.8,11.3
Kansai,197112,9.15,12.23
Chugoku,197112,10.95,13.75
Shikoku,197112,12.57,15.37
Kyushu,197112,13.31,16.61
Okinawa,197112,,
Hokkaido,197111,8.93,12.65
Tohoku,197111,7.22,9.57
Tokyo,197111,6.92,10.46
Chubu,197111,6.8,10.3
Hokuriku,197111,7.3,8.7
Kansai,197111,6.73,9.91
Chugoku,197111,7.15,10.02
Shikoku,197111,7.65,11.59
Kyushu,197111,8.23,11.65
Okinawa,197111,,
Hokkaido,197110,12.84,16.37
Tohoku,197110,8.24,10.63
Tokyo,197110,5.69,9.07
Chubu,197110,5.63,8.97
Hokuriku,197110,7,8.4
Kansai,197110,3.51,6.87
Chugoku,197110,3.86,6.77
Shikoku,197110,5.3,8.79
Kyushu,197110,9.93,7.25
Okinawa,197110,,
Hokkaido,197109,6.92,10.9
Tohoku,197109,2.19,4.57
Tokyo,197109,1,4.49
Chubu,197109,1.82,4.93
Hokuriku,197109,4.4,5.6
Kansai,197109,-0.18,3.14
Chugoku,197109,0.11,2.64
Shikoku,197109,2.16,4.94
Kyushu,197109,2.03,5.29
Okinawa,197109,,
Hokkaido,197108,9.51,13.33
Tohoku,197108,8,10.47
Tokyo,197108,5.11,8.63
Chubu,197108,6.18,9.64
Hokuriku,197108,6.76,8.07
Kansai,197108,5.12,8.44
Chugoku,197108,5.64,8.2
Shikoku,197108,7.42,10.56
Kyushu,197108,5.6,8.98
Okinawa,197108,,
Hokkaido,197107,11.9,15.64
Tohoku,197107,9.78,11.76
Tokyo,197107,11.45,14.68
Chubu,197107,11.54,14.7
Hokuriku,197107,9.73,10.71
Kansai,197107,14.2,17.16
Chugoku,197107,13.92,16.28
Shikoku,197107,14.3,17.67
Kyushu,197107,17.5,20.62
Okinawa,197107,,
Hokkaido,197106,11.08,14.42
Tohoku,197106,7.88,9.82
Tokyo,197106,8.55,11.96
Chubu,197106,6.92,10.2
Hokuriku,197106,6.81,7.75
Kansai,197106,8.97,11.93
Chugoku,197106,7.11,9.58
Shikoku,197106,8.44,11.73
Kyushu,197106,10.97,13.76
Okinawa,197106,,
Hokkaido,197105,11.47,14.8
Tohoku,197105,8.13,9.88
Tokyo,197105,5.06,8.57
Chubu,197105,6.54,9.93
Hokuriku,197105,6.07,7.05
Kansai,197105,7.15,10.57
Chugoku,197105,6.76,9.25
Shikoku,197105,7.42,11.42
Kyushu,197105,10.06,13.98
Okinawa,197105,,
Hokkaido,197104,5.66,9.58
Tohoku,197104,4.17,5.99
Tokyo,197104,2.93,6.52
Chubu,197104,1.78,5.31
Hokuriku,197104,5.7,6.6
Kansai,197104,0.54,3.67
Chugoku,197104,1.29,4.28
Shikoku,197104,5.08,8.66
Kyushu,197104,3.82,7.7
Okinawa,197104,,
Hokkaido,197103,10.77,15.68
Tohoku,197103,9.31,11.58
Tokyo,197103,8.63,12.09
Chubu,197103,9.03,12.6
Hokuriku,197103,7.6,8.85
Kansai,197103,8.84,11.99
Chugoku,197103,9.4,12.08
Shikoku,197103,8.12,11.44
Kyushu,197103,10.86,14.52
Okinawa,197103,,
Hokkaido,197102,2.5,7.93
Tohoku,197102,2.37,4.97
Tokyo,197102,1.36,5.02
Chubu,197102,0.95,4.79
Hokuriku,197102,4,5.54
Kansai,197102,0.48,3.78
Chugoku,197102,1.69,4.72
Shikoku,197102,2.94,6.56
Kyushu,197102,2.09,6.39
Okinawa,197102,,
Hokkaido,197101,10.12,15.16
Tohoku,197101,7.65,10.08
Tokyo,197101,6.28,9.93
Chubu,197101,7.84,11.57
Hokuriku,197101,5.75,7.23
Kansai,197101,7.53,10.77
Chugoku,197101,7.74,10.65
Shikoku,197101,8.42,11.94
Kyushu,197101,10.81,14.86
Okinawa,197101,,
Hokkaido,197012,12.39,17.07
Tohoku,197012,,
Tokyo,197012,11.73,15.15
Chubu,197012,9.88,13.38
Hokuriku,197012,89.51,10.31
Kansai,197012,9.36,12.44
Chugoku,197012,10.58,13.23
Shikoku,197012,12.7,15.92
Kyushu,197012,12.45,16.36
Okinawa,197012,,
Hokkaido,197011,8.98,13.32
Tohoku,197011,7.36,9.63
Tokyo,197011,6.68,10.3
Chubu,197011,6.59,10.25
Hokuriku,197011,6.78,8.17
Kansai,197011,6.58,9.91
Chugoku,197011,7.48,10.42
Shikoku,197011,7.83,11.71
Kyushu,197011,9.01,13.2
Okinawa,197011,,
Hokkaido,197010,12.55,16.85
Tohoku,197010,,
Tokyo,197010,5.28,8.76
Chubu,197010,4.63,8.42
Hokuriku,197010,6.02,7.48
Kansai,197010,2.22,5.83
Chugoku,197010,3.28,6.47
Shikoku,197010,4.52,7.98
Kyushu,197010,3.94,8.3
Okinawa,197010,,
Hokkaido,197009,8.49,13.1
Tohoku,197009,3.08,5.68
Tokyo,197009,1.96,5.63
Chubu,197009,3.48,7.2
Hokuriku,197009,4.33,5.82
Kansai,197009,1.45,5.06
Chugoku,197009,3.39,6.35
Shikoku,197009,4.36,7.73
Kyushu,197009,3.85,7.67
Okinawa,197009,,
Hokkaido,197008,9.23,13.93
Tohoku,197008,7.28,9.77
Tokyo,197008,6.11,9.67
Chubu,197008,6.62,10.13
Hokuriku,197008,6.82,8.36
Kansai,197008,6.61,9.98
Chugoku,197008,8.41,11.04
Shikoku,197008,9.04,12.31
Kyushu,197008,10.49,14.12
Okinawa,197008,,
Hokkaido,197007,12.4,16.54
Tohoku,197007,10.37,12.63
Tokyo,197007,11.62,14.86
Chubu,197007,11.64,14.79
Hokuriku,197007,8.77,10.17
Kansai,197007,14.24,17.15
Chugoku,197007,14.45,16.88
Shikoku,197007,14.56,17.48
Kyushu,197007,17.48,20.55
Okinawa,197007,,
Hokkaido,197006,12.2,15.86
Tohoku,197006,8.31,10.42
Tokyo,197006,7.86,11.16
Chubu,197006,6.61,9.84
Hokuriku,197006,6.27,7.52
Kansai,197006,7.17,10.06
Chugoku,197006,6.23,8.67
Shikoku,197006,7.43,10.6
Kyushu,197006,9.63,13.15
Okinawa,197006,,
Hokkaido,197005,10.45,13.65
Tohoku,197005,8,9.78
Tokyo,197005,5.73,9.15
Chubu,197005,6.46,9.71
Hokuriku,197005,5.59,6.76
Kansai,197005,6.37,9.31
Chugoku,197005,5.99,8.28
Shikoku,197005,6.86,9.89
Kyushu,197005,9.31,12.62
Okinawa,197005,,
Hokkaido,197004,5.92,10.25
Tohoku,197004,3.59,5.64
Tokyo,197004,3.52,7.19
Chubu,197004,2.25,5.62
Hokuriku,197004,4.94,6.08
Kansai,197004,1.58,4.96
Chugoku,197004,1.52,4.02
Shikoku,197004,3.76,7.16
Kyushu,197004,4.29,8.22
Okinawa,197004,,
Hokkaido,197003,12.9,17.68
Tohoku,197003,10.75,13.13
Tokyo,197003,9.01,12.57
Chubu,197003,9.8,13.15
Hokuriku,197003,7.98,9.32
Kansai,197003,9.3,12.44
Chugoku,197003,10.42,13.23
Shikoku,197003,9.82,13.54
Kyushu,197003,12.38,16.54
Okinawa,197003,,
Hokkaido,197002,1.99,7.35
Tohoku,197002,3.02,5.73
Tokyo,197002,1.03,4.89
Chubu,197002,1.58,5.17
Hokuriku,197002,3.98,5.71
Kansai,197002,0.55,4.11
Chugoku,197002,1.34,4.55
Shikoku,197002,2.33,6.54
Kyushu,197002,2.51,7.29
Okinawa,197002,,
Hokkaido,197001,11.37,16.33
Tohoku,197001,9.07,11.53
Tokyo,197001,6.37,10.14
Chubu,197001,8.98,12.55
Hokuriku,197001,6.38,8.05
Kansai,197001,7.76,11.23
Chugoku,197001,8.64,11.8
Shikoku,197001,8.34,12.26
Kyushu,197001,11.37,15.54
Okinawa,197001,,
Hokkaido,196912,12.92,17.51
Tohoku,196912,10.2,12.51
Tokyo,196912,11.87,15.13
Chubu,196912,10.02,13.51
Hokuriku,196912,8.75,10.24
Kansai,196912,92.9,12.48
Chugoku,196912,11.2,14.21
Shikoku,196912,13.57,17.28
Kyushu,196912,12.95,17.06
Okinawa,196912,,
Hokkaido,196911,10.21,14.46
Tohoku,196911,8.35,10.79
Tokyo,196911,6.55,10.24
Chubu,196911,7.3,11.08
Hokuriku,196911,6.76,8.36
Kansai,196911,7.68,11.29
Chugoku,196911,9.14,12.53
Shikoku,196911,9.83,13.9
Kyushu,196911,10.99,15.53
Okinawa,196911,,
Hokkaido,196910,13.14,17.06
Tohoku,196910,8.34,10.74
Tokyo,196910,6.14,9.71
Chubu,196910,4.9,8.75
Hokuriku,196910,6.15,7.72
Kansai,196910,3.3,7.08
Chugoku,196910,4.84,8.42
Shikoku,196910,4.62,8.04
Kyushu,196910,3.57,8.42
Okinawa,196910,,
Hokkaido,196909,8.67,12.43
Tohoku,196909,4.78,7.2
Tokyo,196909,1.67,5.44
Chubu,196909,3.82,7.23
Hokuriku,196909,4.29,5.84
Kansai,196909,1.88,5.47
Chugoku,196909,3.39,6.92
Shikoku,196909,3.2,7.27
Kyushu,196909,5.06,9.21
Okinawa,196909,,
Hokkaido,196908,9.89,13.77
Tohoku,196908,6.7,8.99
Tokyo,196908,6.27,9.83
Chubu,196908,7.41,10.52
Hokuriku,196908,7.33,8.57
Kansai,196908,7.26,10.42
Chugoku,196908,8.83,11.87
Shikoku,196908,11.05,14.46
Kyushu,196908,10.7,14.88
Okinawa,196908,,
Hokkaido,196907,12.95,16.95
Tohoku,196907,10.38,12.56
Tokyo,196907,12.24,15.77
Chubu,196907,11.61,14.62
Hokuriku,196907,8.91,9.92
Kansai,196907,13.58,16.52
Chugoku,196907,13.63,16.24
Shikoku,196907,14.26,16.92
Kyushu,196907,16.97,20.31
Okinawa,196907,,
Hokkaido,196906,12.7,16.03
Tohoku,196906,8.37,10.57
Tokyo,196906,7.38,10.96
Chubu,196906,6.56,10.08
Hokuriku,196906,6.26,7.41
Kansai,196906,6.86,10.15
Chugoku,196906,6.93,9.98
Shikoku,196906,8.4,12.24
Kyushu,196906,9.08,13.46
Okinawa,196906,,
Hokkaido,196905,12.24,15.34
Tohoku,196905,9.08,10.97
Tokyo,196905,6.62,10.24
Chubu,196905,7.49,10.89
Hokuriku,196905,6.71,7.5
Kansai,196905,7.25,10.49
Chugoku,196905,6.46,9.5
Shikoku,196905,7.54,11.34
Kyushu,196905,9.67,14.09
Okinawa,196905,,
Hokkaido,196904,7.33,11.26
Tohoku,196904,4.36,6.12
Tokyo,196904,3.45,7.14
Chubu,196904,3.05,6.18
Hokuriku,196904,5.94,6.76
Kansai,196904,2.15,5.15
Chugoku,196904,1.94,4.88
Shikoku,196904,4.41,8.06
Kyushu,196904,4.16,8.48
Okinawa,196904,,
Hokkaido,196903,11.96,16.53
Tohoku,196903,10.13,12.35
Tokyo,196903,8.03,11.81
Chubu,196903,9.05,12.42
Hokuriku,196903,8.16,9.42
Kansai,196903,8.77,11.84
Chugoku,196903,9.72,12.64
Shikoku,196903,9.6,13.13
Kyushu,196903,11.31,15.33
Okinawa,196903,,
Hokkaido,196902,2.8,7.78
Tohoku,196902,3.58,6.11
Tokyo,196902,2.41,6.28
Chubu,196902,1.33,4.73
Hokuriku,196902,4.89,6.32
Kansai,196902,1.61,4.86
Chugoku,196902,1.83,4.78
Shikoku,196902,3.91,12.5
Kyushu,196902,3.05,7.5
Okinawa,196902,,
Hokkaido,196901,11.83,16.47
Tohoku,196901,9.28,11.68
Tokyo,196901,9.41,11.13
Chubu,196901,6.8,13.11
Hokuriku,196901,8.58,8.23
Kansai,196901,9.54,11.74
Chugoku,196901,9.26,12.52
Shikoku,196901,14.6,12.5
Kyushu,196901,8.66,
Okinawa,196901,,
Hokkaido,196812,11.53,15.85
Tohoku,196812,9.89,12.1
Tokyo,196812,10.58,14.3
Chubu,196812,9.79,13.51
Hokuriku,196812,8.16,9.47
Kansai,196812,9.17,12.39
Chugoku,196812,11.42,14.56
Shikoku,196812,13.67,17.24
Kyushu,196812,11.62,16.06
Okinawa,196812,,
Hokkaido,196811,9.35,13.9
Tohoku,196811,7.66,
Tokyo,196811,6.17,10.33
Chubu,196811,6.89,10.94
Hokuriku,196811,6.75,8.14
Kansai,196811,6.6,10.12
Chugoku,196811,8.8,12.27
Shikoku,196811,9.14,13.11
Kyushu,196811,9.5,14.1
Okinawa,196811,,
Hokkaido,196810,13.39,17.52
Tohoku,196810,96.8,12.22
Tokyo,196810,8.08,11.89
Chubu,196810,7.22,10.96
Hokuriku,196810,6.26,7.64
Kansai,196810,5.89,9.63
Chugoku,196810,6.64,10.12
Shikoku,196810,7.79,11.6
Kyushu,196810,5.75,10.28
Okinawa,196810,,
Hokkaido,196809,9.51,13.58
Tohoku,196809,4.82,7.45
Tokyo,196809,0.78,4.69
Chubu,196809,2.62,6.18
Hokuriku,196809,4,5.4
Kansai,196809,0.2,4.03
Chugoku,196809,1.66,5.25
Shikoku,196809,2.89,5.48
Kyushu,196809,2.94,7.34
Okinawa,196809,,
Hokkaido,196808,9.91,14.06
Tohoku,196808,7.53,10.22
Tokyo,196808,6.95,10.75
Chubu,196808,7.52,12.66
Hokuriku,196808,6.68,8.13
Kansai,196808,7.33,10.85
Chugoku,196808,9.39,12.58
Shikoku,196808,11.78,13.86
Kyushu,196808,11.19,15.19
Okinawa,196808,,
Hokkaido,196807,13.81,18.01
Tohoku,196807,10.43,12.92
Tokyo,196807,11.7,15.27
Chubu,196807,11.4,14.7
Hokuriku,196807,8.16,9.51
Kansai,196807,12.25,15.42
Chugoku,196807,13.97,17.3
Shikoku,196807,12.28,14.72
Kyushu,196807,16.02,19.25
Okinawa,196807,,
Hokkaido,196806,12.19,15.63
Tohoku,196806,8.31,10.29
Tokyo,196806,7.02,10.7
Chubu,196806,6.92,10.71
Hokuriku,196806,6.25,7.41
Kansai,196806,7.67,11.09
Chugoku,196806,7.36,11.11
Shikoku,196806,9.35,12.58
Kyushu,196806,9.65,14.27
Okinawa,196806,,
Hokkaido,196805,13.48,16.5
Tohoku,196805,8.9,10.54
